Product Link,Product Name,Brand,Star Rating,Number of Ratings,Original Price,Offer Price,Color,Size,Connectivity_technology,Connector_type,Compatible_devices
https://www.amazon.in/Henrix-Acoustic-Guitar-Die-cast-Dual-action/dp/B07VNDWSGD?ref=dlx_deals_gd_dcl_img_0_a8316126_dt_sl15_ae,"        Henrix 38C 38 Inch Cutaway Acoustic Guitar With Dual Action Truss Rod, Gigbag, Picks, String Set, String Winder, Strap, Polishing Cloth & Ebook - Red Burst       ",Henrix,3.8,"1,760","5,500","2,659.00",Red Bust,Not Available,Not Available,Not Available,Not Available
https://www.amazon.in/Kadence-Wanderer-Mahogany-LEARNING-Fluorocarbon/dp/B098WXZNHZ?ref=dlx_deals_gd_dcl_img_1_b7202061_dt_sl15_ae,"        Kadence Wanderer Mahogany wood Ukulele (Online LEARNING course free having 66 videos) soprano 21"" (Super Combo, Bag with Tuner, Strap, Fluorocarbon String Set, Capo and Learning Course)       ",Kadence,4.3,"5,913","4,000","2,699.00","Bag with Tuner, Strap, String Set, Capo",Super Combo,Not Available,Not Available,Not Available
https://www.amazon.in/Xtreme-Acoustics-Professional-Microphone-Recording/dp/B0BH4YT6LK?ref=dlx_deals_gd_dcl_img_2_f1edddd8_dt_sl15_ae,"        Xtreme Acoustics XAB02 Professional UHF Wireless Handheld Dual Channel Microphone System for Singing, Recording, Karaoke, Stage Events, Party, Amplifier PA Mixer       ",Xtreme Acoustics,3.6,15,"15,000","6,999.00",Black,Not Available,XLR,XLR Connector,"Amplifier, Karaoke Machine, Speaker"
https://www.amazon.in/Kadence-Acoustica-Ash-Wood-Equlizer/dp/B0757H5P13?ref=dlx_deals_gd_dcl_img_3_7de21997_dt_sl15_ae,"        Kadence Guitar Acoustica Series, Electric Acoustic Guitar, Ash Wood with Pickup and Inbuilt tuner (Ash Wood, Electro Acoustic) with bag.       ",Kadence,3.8,"1,315","8,670","6,499.00",Ash Wood,Not Available,Not Available,Not Available,Not Available
https://www.amazon.in/Kadence-Slowhand-Premium-Acoustic-Instrument/dp/B077SZ667X?ref=dlx_deals_gd_dcl_img_4_d2edbce8_dt_sl15_ae,"        Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo (Black Spruce Wood)       ",Kadence,4,557,"16,779","11,999.00",Black Spruce Wood,Not Available,Not Available,Not Available,Not Available
https://www.amazon.in/Xtreme-Acoustics-Microphone-Monitoring-Smartphone/dp/B0BBFFXSMT?ref=dlx_deals_gd_dcl_img_5_8fc52cdd_dt_sl15_ae,"        Xtreme Acoustics XAWLGK2 Dual Channel Wireless Universal Lavalier Microphone for Mobile Phone and Camera Recording with Direct Karaoke Music Input, Headphone Monitoring, Smartphone 3.5mm and USB Type C Cable, Camera 3.5mm Cable for Singing, Audio/Video Recording, YouTube       ",Xtreme Acoustics,3.4,67,"11,999","5,199.00",Black,Not Available,"Bluetooth, USB","USB, 3.5 mm Jack","Personal Computer, Headphone, Smartphone, Karaoke Machine"
https://www.amazon.in/Xtreme-Acoustics-Universal-Microphone-Smartphone/dp/B09MS78JRZ?ref=dlx_deals_gd_dcl_img_6_10194045_dt_sl15_ae,"        Xtreme Acoustics XAWL303 Wireless UHF Single Channel Collar Lavalier Microphone Kit for Android, Iphone Mobile and DSLR Camera Recording with Headphone Monitoring for YouTube, Singing, Vlogging, Audio and Video Recording       ",Xtreme Acoustics,3.7,254,"5,999","2,969.00",Black,Not Available,"Bluetooth, USB","USB, 3.5 mm Jack","Personal Computer, Camera, Headphone, Smartphone"
https://www.amazon.in/Xtreme-Acoustics-Professional-Production-Adjustable/dp/B09T9HJB2J?ref=dlx_deals_gd_dcl_img_7_89bd5533_dt_sl15_ae,"        Xtreme Acoustics WTC500S Professional Carbon Fiber Monopod with Fluid Head Mount for Video Production Stand for DSLR Cameras, Gopro with 3 Adjustable Sections and Rubber Grip       ",Xtreme Acoustics,5,4,"19,832","8,999.00",Black,Not Available,Not Available,Not Available,"Camcorder, Camera, Smartphone"
https://www.amazon.in/dp/B0757H5P13?ref=dlx_deals_gd_dcl_img_8_fc52d921_dt_sl15_ae,"        Kadence Guitar Acoustica Series, Electric Acoustic Guitar, Ash Wood with Pickup and Inbuilt tuner (Ash Wood, Electro Acoustic) with bag.       ",Kadence,3.8,"1,315","8,670","6,499.00",Ash Wood,Not Available,Not Available,Not Available,Not Available
https://www.amazon.in/dp/B098WXZNHZ?ref=dlx_deals_gd_dcl_img_9_683ac775_dt_sl15_ae,"        Kadence Wanderer Mahogany wood Ukulele (Online LEARNING course free having 66 videos) soprano 21"" (Super Combo, Bag with Tuner, Strap, Fluorocarbon String Set, Capo and Learning Course)       ",Kadence,4.3,"5,913","4,000","2,699.00","Bag with Tuner, Strap, String Set, Capo",Super Combo,Not Available,Not Available,Not Available
https://www.amazon.in/dp/B0BBFFXSMT?ref=dlx_deals_gd_dcl_img_10_c9e4dd92_dt_sl15_ae,"        Xtreme Acoustics XAWLGK2 Dual Channel Wireless Universal Lavalier Microphone for Mobile Phone and Camera Recording with Direct Karaoke Music Input, Headphone Monitoring, Smartphone 3.5mm and USB Type C Cable, Camera 3.5mm Cable for Singing, Audio/Video Recording, YouTube       ",Xtreme Acoustics,3.4,67,"11,999","5,199.00",Black,Not Available,"Bluetooth, USB","USB, 3.5 mm Jack","Personal Computer, Headphone, Smartphone, Karaoke Machine"
https://www.amazon.in/dp/B0BH4YT6LK?ref=dlx_deals_gd_dcl_img_11_4842619b_dt_sl15_ae,"        Xtreme Acoustics XAB02 Professional UHF Wireless Handheld Dual Channel Microphone System for Singing, Recording, Karaoke, Stage Events, Party, Amplifier PA Mixer       ",Xtreme Acoustics,3.6,15,"15,000","6,999.00",Black,Not Available,XLR,XLR Connector,"Amplifier, Karaoke Machine, Speaker"
https://www.amazon.in/dp/B077SZ667X?ref=dlx_deals_gd_dcl_img_12_afce80cf_dt_sl15_ae,"        Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo (Black Spruce Wood)       ",Kadence,4,557,"16,779","11,999.00",Black Spruce Wood,Not Available,Not Available,Not Available,Not Available
https://www.amazon.in/dp/B09MS78JRZ?ref=dlx_deals_gd_dcl_img_13_feb735bd_dt_sl15_ae,"        Xtreme Acoustics XAWL303 Wireless UHF Single Channel Collar Lavalier Microphone Kit for Android, Iphone Mobile and DSLR Camera Recording with Headphone Monitoring for YouTube, Singing, Vlogging, Audio and Video Recording       ",Xtreme Acoustics,3.7,254,"5,999","2,969.00",Black,Not Available,"Bluetooth, USB","USB, 3.5 mm Jack","Personal Computer, Camera, Headphone, Smartphone"
https://www.amazon.in/dp/B09T9HJB2J?ref=dlx_deals_gd_dcl_img_14_6ef37747_dt_sl15_ae,"        Xtreme Acoustics WTC500S Professional Carbon Fiber Monopod with Fluid Head Mount for Video Production Stand for DSLR Cameras, Gopro with 3 Adjustable Sections and Rubber Grip       ",Xtreme Acoustics,5,4,"19,832","8,999.00",Black,Not Available,Not Available,Not Available,"Camcorder, Camera, Smartphone"
https://www.amazon.in/dp/B07VNDWSGD?ref=dlx_deals_gd_dcl_img_15_82b8c74b_dt_sl15_ae,"        Henrix 38C 38 Inch Cutaway Acoustic Guitar With Dual Action Truss Rod, Gigbag, Picks, String Set, String Winder, Strap, Polishing Cloth & Ebook - Red Burst       ",Henrix,3.8,"1,760","5,500","2,659.00",Red Bust,Not Available,Not Available,Not Available,Not Available
